Province/Territory,Flu Tested,A(H1N1)pdm09 Positive,A(H3) Positive,A(UnS) Positive,Total Flu A Positive,Total Flu B Positive,RSV Tested,RSV Positive,PIV Tested,PIV 1 Positive,PIV 2 Positive,PIV 3 Positive,PIV 4 Positive,Other PIV Positive,Adeno Tested,Adeno Positive,hMPV Tested,hMPV Positive,Entero/Rhino Tested,Entero/Rhino Positive,Coron Tested,Coron Positive
Newfoundland,1299,1,0,113,114,1,1299,91,1299.0,0.0,10.0,34.0,0.0,0.0,1299.0,12.0,1299.0,8.0,1299.0,200.0,,
Prince Edward Island,307,38,0,0,38,0,305,5,53.0,0.0,0.0,1.0,3.0,0.0,48.0,5.0,48.0,0.0,48.0,21.0,48.0,0.0
Nova Scotia,864,0,0,52,52,1,869,45,322.0,0.0,3.0,7.0,1.0,0.0,322.0,0.0,322.0,3.0,322.0,53.0,322.0,1.0
New Brunswick,4271,42,1,715,758,2,4274,131,1185.0,0.0,12.0,6.0,29.0,0.0,1185.0,84.0,1185.0,7.0,1185.0,201.0,1185.0,6.0
Québec,38395,0,0,5974,5975,81,35755,2816,11201.0,39.0,164.0,45.0,36.0,0.0,11288.0,373.0,10786.0,63.0,,,10703.0,310.0
Ontario,23795,752,180,546,1478,42,23518,1123,13600.0,32.0,146.0,77.0,38.0,0.0,13348.0,117.0,13307.0,101.0,3652.0,683.0,3080.0,117.0
Manitoba,4911,192,3,486,681,3,4828,101,2254.0,0.0,8.0,13.0,10.0,0.0,2254.0,25.0,1214.0,9.0,2254.0,310.0,1248.0,12.0
Saskatchewan,8391,1280,60,749,2089,3,8391,160,10324.0,2.0,53.0,74.0,40.0,0.0,8391.0,106.0,8391.0,47.0,8391.0,1337.0,8391.0,30.0
Alberta,18824,3132,73,1540,4745,29,15040,0,15040.0,16.0,135.0,162.0,154.0,0.0,15040.0,184.0,15040.0,189.0,15040.0,2693.0,15040.0,321.0
British Columbia,8731,1010,75,755,1840,10,8731,279,4342.0,6.0,40.0,82.0,66.0,0.0,4342.0,56.0,4342.0,14.0,3442.0,982.0,3442.0,54.0
Yukon,143,16,1,6,23,0,122,2,,,,,,,,,,,,,,
Northwest Territories,435,138,2,0,140,0,432,0,432.0,0.0,0.0,12.0,1.0,0.0,432.0,12.0,432.0,2.0,432.0,82.0,432.0,4.0
Nunavut,33,8,0,0,8,0,33,0,33.0,0.0,0.0,0.0,0.0,0.0,33.0,5.0,32.0,0.0,33.0,10.0,32.0,0.0
